Movie Title,Release Year,IMDb Rating,Movie Link,Stream
Kübra,2024,6.3,/in/tv-show/kubra,Netflix
Mashle: Magic and Muscles,2023,7.5,/in/tv-show/mashle-magic-and-muscles,Crunchyroll
Stranger Things,2016,8.7,/in/tv-show/stranger-things,Netflix
Neru,2023,7.7,/in/movie/neru,"Hotstar, Bookmyshow"
Naruto Shippūden,2007,8.7,/in/tv-show/naruto-shippuden,Netflix
Better Call Saul,2015,9.0,/in/tv-show/better-call-saul,Netflix
The Marvels,2023,5.6,/in/movie/the-marvels,"Hotstar, Apple TV"
One-Punch Man,2015,8.7,/in/tv-show/one-punch-man,Netflix
Criminal Record,2024,7.2,/in/tv-show/criminal-record,Apple TV Plus
Koffee with Karan,2004,6.4,/in/tv-show/koffee-with-karan,Hotstar
The Curse,2023,7.2,/in/tv-show/the-curse,Lionsgate Play
Luther,2010,8.4,/in/tv-show/luther,
Kaala Paani,2023,8.0,/in/tv-show/kaala-paani,Netflix
Fighter,2024,7.5,/in/movie/fighter-2022,
Jawan,2023,7.0,/in/movie/jawan,"Netflix, Google Play Movies, Apple TV"
Alexander: The Making of a God,2024,5.2,/in/tv-show/alexander-the-making-of-a-god,Netflix
The Rookie,2018,8.0,/in/tv-show/the-rookie,
The Brothers Sun,2024,7.6,/in/tv-show/the-brothers-sun,Netflix
The Unwanted Undead Adventurer,2024,,/in/tv-show/the-unwanted-undead-adventurer,Netflix
ONE PIECE,2023,8.4,/in/tv-show/one-piece-2023,Netflix
Lift,2024,5.5,/in/movie/lift-0,Netflix
Anyone But You,2024,6.5,/in/movie/anyone-but-you,Bookmyshow
The King: Eternal Monarch,2020,,/in/tv-show/the-king-eternal-monarch,Netflix
Maharani,2009,7.2,/in/tv-show/maharani,Hotstar
Under the Dome,2013,6.5,/in/tv-show/under-the-dome,Amazon Prime Video
Naruto,2002,8.4,/in/tv-show/naruto,Netflix
Echo,2024,6.1,/in/tv-show/echo,
The Walking Dead,2010,8.1,/in/tv-show/the-walking-dead,Netflix
A Clean Sweep,2022,8.2,/in/tv-show/coegangyagu,Netflix
The Beekeeper,2024,6.4,/in/movie/the-beekeeper-2024,Bookmyshow
Perilloor Premier League,2024,7.5,/in/tv-show/perilloor-premier-league,Hotstar
Guthlee Ladoo,2023,7.7,/in/movie/guthlee-ladoo,Amazon Prime Video
Apharan,2018,8.3,/in/tv-show/apharan,Voot
Gyeongseong Creature,2023,7.3,/in/tv-show/gyeongseong-creature,Netflix
Migration,2023,6.7,/in/movie/migration,Amazon Video
Captain Miller,2024,7.1,/in/movie/captain-miller,"Amazon Prime Video, Bookmyshow, Amazon Video"
Undekhi,2020,,/in/tv-show/undekhi,Sony Liv
College Romance,2018,8.3,/in/tv-show/college-romance,Sony Liv
How I Met Your Mother,2005,8.3,/in/tv-show/how-i-met-your-mother,Hotstar
The Witcher,2019,8.0,/in/tv-show/the-witcher,Netflix
Anatomy of a Fall,2023,7.8,/in/movie/anatomie-dune-chute,
Revenge,2011,7.8,/in/tv-show/revenge,
Wednesday,2022,8.1,/in/tv-show/wednesday,Netflix
The Flash,2014,7.5,/in/tv-show/the-flash,
Barbie,2023,6.9,/in/movie/barbie-2023,"Jio Cinema, Amazon Video, Apple TV"
Hazbin Hotel,2024,7.6,/in/tv-show/hazbin-hotel,Amazon Prime Video
Society of the Snow,2023,7.9,/in/movie/society-of-the-snow,Netflix
Parks and Recreation,2009,8.6,/in/tv-show/parks-and-recreation,Jio Cinema
Young Sheldon,2017,7.6,/in/tv-show/young-sheldon,Amazon Prime Video
Attack on Titan,2013,9.0,/in/tv-show/attack-on-titan,
Shameless,2011,8.5,/in/tv-show/shameless,Netflix
Marvel's Daredevil,2015,8.6,/in/tv-show/marvels-daredevil,Hotstar
The Big Bang Theory,2007,8.2,/in/tv-show/the-big-bang-theory,Netflix
Tokyo Vice,2022,8.0,/in/tv-show/tokyo-vice,Lionsgate Play
Aar Ya Paar,2022,7.4,/in/tv-show/aar-ya-paar,
Paurashpur,2020,3.7,/in/tv-show/paurashpur,Alt Balaji
Blue Eye Samurai,2023,8.8,/in/tv-show/blue-eye-samurai,Netflix
Curb Your Enthusiasm,2000,8.8,/in/tv-show/curb-your-enthusiasm,Jio Cinema
You,2018,7.7,/in/tv-show/you,Netflix
One Day,2024,7.5,/in/tv-show/one-day,Netflix
Hunter x Hunter,2011,9.0,/in/tv-show/hunter-x-hunter,Netflix
The Tourist,2022,7.0,/in/tv-show/the-tourist,Lionsgate Play
Demon Slayer: Kimetsu no Yaiba,2019,8.7,/in/tv-show/demon-slayer-kimetsu-no-yaiba,Netflix
Dark,2017,8.7,/in/tv-show/dark,Netflix
Suits,2011,8.4,/in/tv-show/suits,Netflix
Sex Education,2019,8.3,/in/tv-show/sex-education,Netflix
Obliterated,2023,6.8,/in/tv-show/obliterated,Netflix
Kaathal – The Core,2023,7.6,/in/movie/kaathal-the-core,Amazon Prime Video
Gen V,2023,7.8,/in/tv-show/gen-v,Amazon Prime Video
The Office,2005,9.0,/in/tv-show/the-office,Netflix
Saindhav,2024,5.2,/in/movie/saindhav,"Amazon Prime Video, Bookmyshow, Amazon Video"
Poor Things,2023,8.4,/in/movie/poor-things,
Chernobyl,2019,9.3,/in/tv-show/chernobyl,Jio Cinema
Ted Lasso,2020,8.8,/in/tv-show/ted-lasso,Apple TV Plus
The Vampire Diaries,2009,7.7,/in/tv-show/the-vampire-diaries,Netflix
Beef,2023,8.0,/in/tv-show/beef,Netflix
Doctor Slump,2024,7.9,/in/tv-show/doctor-slump,Netflix
The Sopranos,1999,9.2,/in/tv-show/the-sopranos,Jio Cinema
Feud,2017,8.4,/in/tv-show/feud,Hotstar
DEATH NOTE,2006,8.9,/in/tv-show/death-note,Netflix
Sex/Life,2021,5.6,/in/tv-show/sex-life,Netflix
Saltburn,2023,7.1,/in/movie/saltburn,
Cubicles,2019,8.2,/in/tv-show/cubicles,Sony Liv
